"","DataZone2011Code","AGE0","AGE1","AGE2","AGE3","AGE4","AGE5","AGE6","AGE7","AGE8","AGE9","AGE10","AGE11","AGE12","AGE13","AGE14","AGE15","AGE16","AGE17","AGE18","AGE19","AGE20","AGE21","AGE22","AGE23","AGE24","AGE25","AGE26","AGE27","AGE28","AGE29","AGE30","AGE31","AGE32","AGE33","AGE34","AGE35","AGE36","AGE37","AGE38","AGE39","AGE40","AGE41","AGE42","AGE43","AGE44","AGE45","AGE46","AGE47","AGE48","AGE49","AGE50","AGE51","AGE52","AGE53","AGE54","AGE55","AGE56","AGE57","AGE58","AGE59","AGE60","AGE61","AGE62","AGE63","AGE64","AGE65","AGE66","AGE67","AGE68","AGE69","AGE70","AGE71","AGE72","AGE73","AGE74","AGE75","AGE76","AGE77","AGE78","AGE79","AGE80","AGE81","AGE82","AGE83","AGE84","AGE85","AGE86","AGE87","AGE88","AGE89","AGE90"
"298","S01006803",6,4,7,5,14,4,11,4,8,10,5,8,4,4,4,8,9,9,5,9,6,6,1,4,5,12,9,3,9,6,8,9,11,9,8,5,7,7,5,14,8,8,14,6,14,8,12,14,9,10,7,15,9,4,11,10,9,12,7,8,10,10,8,10,9,4,10,11,12,4,11,2,5,7,12,6,6,7,7,3,6,4,5,6,5,4,4,2,3,1,7
"299","S01006804",14,13,21,9,14,13,15,14,14,10,8,8,15,15,11,10,6,1,8,3,7,2,7,4,6,10,9,6,16,8,11,10,12,7,13,11,16,14,15,11,17,15,16,10,12,13,12,4,14,9,11,4,10,12,6,7,9,9,8,6,11,11,5,5,7,14,9,8,7,12,4,7,4,5,5,6,3,2,5,4,6,3,0,2,3,1,4,2,0,1,3
"300","S01006805",14,11,14,11,15,9,18,9,18,17,12,13,21,10,15,18,23,9,18,17,15,15,18,10,10,15,14,13,20,11,14,8,16,9,6,20,10,9,10,14,30,10,24,17,20,14,20,25,19,18,19,24,23,11,14,20,13,15,12,12,16,13,13,14,14,21,15,5,9,12,9,7,11,11,3,5,6,4,4,3,5,4,4,1,7,3,2,7,5,4,2
"301","S01006806",8,16,11,12,9,8,11,12,11,12,8,16,13,16,11,12,11,12,10,7,3,6,15,15,7,7,12,11,13,10,7,12,13,14,14,14,15,14,13,19,14,19,26,15,14,8,13,13,21,18,13,15,17,13,23,22,14,22,20,16,16,9,7,15,18,15,18,14,9,11,13,8,14,7,8,5,8,4,9,5,4,3,0,3,2,1,3,1,1,1,5
"302","S01006807",5,5,13,7,9,13,7,9,9,5,8,2,6,13,9,3,7,7,4,0,2,1,12,4,4,2,1,5,6,3,5,13,8,3,8,5,7,10,4,11,8,7,19,10,16,9,3,8,13,16,11,9,12,12,11,10,10,5,10,12,13,7,10,6,11,5,11,1,5,8,3,8,5,2,5,4,2,3,2,0,4,2,0,1,0,0,0,0,1,0,0
"303","S01006808",5,9,5,11,5,12,6,14,7,10,4,12,9,4,13,9,5,9,9,6,1,6,9,4,1,3,8,4,5,2,9,8,9,4,11,7,4,10,8,7,10,7,7,6,9,15,6,9,13,13,12,12,8,11,15,12,19,6,9,11,5,8,13,7,15,10,16,12,5,6,2,8,6,2,7,4,4,5,5,3,3,2,0,2,0,4,1,1,1,1,6
"304","S01006809",7,9,9,11,6,7,7,10,11,16,11,11,11,13,6,4,17,9,3,6,10,9,7,8,7,5,9,6,4,2,7,7,9,8,8,6,7,8,7,10,10,15,6,8,13,10,14,8,12,5,18,8,12,10,11,17,13,11,13,13,12,10,16,8,14,20,18,14,11,8,10,5,6,4,4,12,9,8,1,9,4,6,5,2,4,1,3,6,4,3,4
"305","S01006810",7,5,11,18,9,14,6,10,9,11,9,11,18,11,12,7,13,19,7,8,10,12,9,9,8,3,8,3,7,6,10,11,6,10,17,10,6,7,12,15,17,16,13,10,22,13,15,16,12,11,11,10,18,15,12,13,14,14,11,13,13,14,11,7,12,13,17,11,6,12,5,12,4,9,9,2,3,5,5,4,2,2,2,2,2,3,4,2,1,0,5
"306","S01006811",16,6,10,18,19,21,20,23,18,19,16,13,16,15,11,16,14,21,10,11,12,6,5,7,10,5,8,10,8,8,10,16,5,16,10,11,13,24,23,16,27,14,15,24,25,17,29,25,20,26,12,22,18,17,19,15,13,14,23,10,10,14,9,10,9,13,11,7,8,7,8,4,10,5,10,6,5,8,4,5,6,2,4,5,1,4,1,2,3,2,2
"307","S01006812",17,9,16,20,10,15,13,10,11,9,8,10,10,9,9,11,7,11,12,8,8,9,4,8,4,3,4,9,8,12,11,10,15,16,10,15,6,16,22,13,16,13,31,9,23,4,11,13,16,10,14,8,1,12,8,19,16,14,11,7,16,10,12,7,10,9,15,3,5,6,7,0,8,3,4,4,4,6,4,4,0,2,1,0,1,0,2,1,0,1,2
"308","S01006813",10,7,9,14,13,11,7,7,13,6,9,12,5,8,9,11,9,12,12,10,8,9,9,10,12,7,9,7,11,5,3,11,13,7,17,13,19,8,10,11,11,14,9,10,16,9,22,13,6,16,14,12,14,9,14,8,10,12,13,6,10,4,5,8,6,6,8,15,5,4,2,7,10,4,3,6,6,6,5,3,3,3,2,2,0,2,0,0,2,6,6
