"","dz2011","simd2020_inc_rate"
"614","S01007119",0.13
"615","S01007120",0.21
"616","S01007121",0.22
"617","S01007122",0.13
"618","S01007123",0.11
"619","S01007124",0.08
"620","S01007125",0.15
"621","S01007126",0.25
"622","S01007127",0.2
"623","S01007128",0.21
"624","S01007129",0.01
"625","S01007130",0.05
"626","S01007131",0.04
"627","S01007132",0.02
"628","S01007133",0.06
"629","S01007134",0.12
"630","S01007135",0.02
"631","S01007136",0.03
"632","S01007137",0.02
"633","S01007138",0.05
"634","S01007139",0.05
"635","S01007140",0.03
"636","S01007141",0.03
"637","S01007142",0.04
"638","S01007143",0.02
"639","S01007144",0.04
"640","S01007145",0.06
"641","S01007146",0.05
"642","S01007147",0.05
"643","S01007148",0.02
"644","S01007149",0.04
"645","S01007150",0.02
"646","S01007151",0.03
"647","S01007152",0.04
"648","S01007153",0.04
"649","S01007154",0.11
"650","S01007155",0.06
"651","S01007156",0.07
"652","S01007157",0.11
"653","S01007158",0.04
"654","S01007159",0.12
"655","S01007160",0.13
"656","S01007161",0.12
"657","S01007162",0.1
"658","S01007163",0.07
"659","S01007164",0.06
"660","S01007165",0.05
"661","S01007166",0.07
"662","S01007167",0.03
"663","S01007168",0.03
"664","S01007169",0.04
"665","S01007170",0.05
"666","S01007171",0.06
"667","S01007172",0.04
"668","S01007173",0.04
"669","S01007174",0.11
"670","S01007175",0.05
"671","S01007176",0.06
"672","S01007177",0.16
"673","S01007178",0.26
"674","S01007179",0.05
"675","S01007180",0.07
"676","S01007181",0.07
"677","S01007182",0.11
"678","S01007183",0.14
"679","S01007184",0.2
"680","S01007185",0.25
"681","S01007186",0.3
"682","S01007187",0.21
"683","S01007188",0.14
"684","S01007189",0.21
"685","S01007190",0.08
"686","S01007191",0.11
"687","S01007192",0.21
"688","S01007193",0.17
"689","S01007194",0.28
"690","S01007195",0.22
"691","S01007196",0.15
"692","S01007197",0.25
"693","S01007198",0.22
"694","S01007199",0.36
"695","S01007200",0.12
"696","S01007201",0.19
"697","S01007202",0.15
"698","S01007203",0.11
"699","S01007204",0.08
"700","S01007205",0.03
"701","S01007206",0.1
"702","S01007207",0.11
"703","S01007208",0.19
"704","S01007209",0.12
"705","S01007210",0.15
"706","S01007211",0.2
"707","S01007212",0.07
"708","S01007213",0.07
"709","S01007214",0.21
"710","S01007215",0.13
"711","S01007216",0.09
"712","S01007217",0.21
"713","S01007218",0.03
"714","S01007219",0.13
"715","S01007220",0.14
"716","S01007221",0.07
"717","S01007222",0.12
"718","S01007223",0.02
"719","S01007224",0.08
"720","S01007225",0.04
"721","S01007226",0.04
"722","S01007227",0.09
"723","S01007228",0.07
"724","S01007229",0.05
"725","S01007230",0.21
"726","S01007231",0.19
"727","S01007232",0.24
"728","S01007233",0.11
"729","S01007234",0.15
"730","S01007235",0.15
"731","S01007236",0.12
"732","S01007237",0.06
"733","S01007238",0.07
"734","S01007239",0.05
"735","S01007240",0.08
"736","S01007241",0.04
"737","S01007242",0.07
"738","S01007243",0.07
"739","S01007244",0.04
"740","S01007245",0.11
"741","S01007246",0.05
"742","S01007247",0.06
"743","S01007248",0.02
"744","S01007249",0.06
"745","S01007250",0.13
"746","S01007251",0.11
"747","S01007252",0.07
"748","S01007253",0.04
"749","S01007254",0.18
"750","S01007255",0.2
"751","S01007256",0.17
"752","S01007257",0.22
"753","S01007258",0.14
"754","S01007259",0.13
"755","S01007260",0.2
"756","S01007261",0.06
"757","S01007262",0.08
"758","S01007263",0.12
"759","S01007264",0.09
"760","S01007265",0.15
"761","S01007266",0.1
"762","S01007267",0.06
"763","S01007268",0.06
"764","S01007269",0.06
"765","S01007270",0.06
"766","S01007271",0.09
"767","S01007272",0.21
"768","S01007273",0.1
"769","S01007274",0.16
"770","S01007275",0.07
"771","S01007276",0.12
"772","S01007277",0.04
"773","S01007278",0.02
"774","S01007279",0.05
"775","S01007280",0.06
"776","S01007281",0.05
"777","S01007282",0.07
"778","S01007283",0.07
"779","S01007284",0.07
"780","S01007285",0.06
"781","S01007286",0.08
"782","S01007287",0.06
"783","S01007288",0.04
"784","S01007289",0.02
"785","S01007290",0.09
"786","S01007291",0.15
"787","S01007292",0.05
"788","S01007293",0.16
"789","S01007294",0.07
"790","S01007295",0.28
"791","S01007296",0.13
"792","S01007297",0.04
"793","S01007298",0.07
"794","S01007299",0.07
"795","S01007300",0.12
"796","S01007301",0.05
"797","S01007302",0.12
"798","S01007303",0.08
"799","S01007304",0.06
"800","S01007305",0.03
"801","S01007306",0.07
"802","S01007307",0.03
"803","S01007308",0.08
"804","S01007309",0.04
"805","S01007310",0.08
"806","S01007311",0.09
"807","S01007312",0.08
"808","S01007313",0.06
"809","S01007314",0.07
"810","S01007315",0.08
"811","S01007316",0.17
"812","S01007317",0.12
"813","S01007318",0.12
"814","S01007319",0.06
"815","S01007320",0.02
"816","S01007321",0.05
"817","S01007322",0.12
"818","S01007323",0.09
"819","S01007324",0.05
"820","S01007325",0.07
"821","S01007326",0.04
"822","S01007327",0.12
"823","S01007328",0.12
"824","S01007329",0.08
"825","S01007330",0.11
"826","S01007331",0.07
"827","S01007332",0.08
"828","S01007333",0.07
"829","S01007334",0.29
"830","S01007335",0.19
"831","S01007336",0.25
"832","S01007337",0.18
"833","S01007338",0.11
"834","S01007339",0.08
"835","S01007340",0.2
"836","S01007341",0.07
"837","S01007342",0.02
"838","S01007343",0.06
"839","S01007344",0.16
"840","S01007345",0.31
"841","S01007346",0.26
"842","S01007347",0.24
"843","S01007348",0.19
"844","S01007349",0.22
"845","S01007350",0.28
"846","S01007351",0.09
"847","S01007352",0.06
"848","S01007353",0.04
"849","S01007354",0.09
"850","S01007355",0.1
"851","S01007356",0.1
"852","S01007357",0.08
"853","S01007358",0.04
"854","S01007359",0.15
"855","S01007360",0.07
"856","S01007361",0.08
"857","S01007362",0.11
